lang,period,url,stars,description
all,daily,https://github.com/microsoft/generative-ai-for-beginners,"51,416","18 Lessons, Get Started Building with Generative AI 🔗https://microsoft.github.io/generative-ai-for-beginners/"
all,daily,https://github.com/Asabeneh/30-Days-Of-Python,"35,198","30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. These videos may help too:https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
all,daily,https://github.com/goldmansachs/gs-quant,"5,505",Python toolkit for quantitative finance
all,daily,https://github.com/WerWolv/ImHex,"39,080","🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM."
all,daily,https://github.com/ClayAmore/ER-Save-Editor,185,Elden Ring Save Editor. Compatible with PC and Playstation saves.
all,daily,https://github.com/pedroslopez/whatsapp-web.js,"14,307",A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app
all,daily,https://github.com/cuixueshe/earthworm,"4,387",Learning English through the method of constructing sentences with conjunctions
all,daily,https://github.com/projectdiscovery/nuclei-templates,"8,427",Community curated list of templates for the nuclei engine to find security vulnerabilities.
all,daily,https://github.com/actualbudget/actual-server,"2,765",Actual's server
all,daily,https://github.com/moby/moby,"68,045",The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
all,daily,https://github.com/starship/starship,"42,661","☄🌌️ The minimal, blazing-fast, and infinitely customizable prompt for any shell!"
all,daily,https://github.com/Azure/azure-sdk-for-net,"5,135",This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs athttps://learn.microsoft.com/dotnet/azure/or our versioned developer docs athttps://azure.github.io/azure-sdk-for-net.
all,daily,https://github.com/LizardByte/Sunshine,"15,271",Self-hosted game stream host for Moonlight.
all,daily,https://github.com/facebook/react-native,"116,904",A framework for building native applications using React
all,daily,https://github.com/iam-veeramalla/aws-devops-zero-to-hero,"5,618","AWS zero to hero repo for devops engineers to learn AWS in 30 Days. This repo includes projects, presentations, interview questions and real time examples."
all,daily,https://github.com/restic/restic,"24,436","Fast, secure, efficient backup program"
all,daily,https://github.com/NVIDIA/gpu-operator,"1,317",NVIDIA GPU Operator creates/configures/manages GPUs atop Kubernetes
all,weekly,https://github.com/modelscope/DiffSynth-Studio,"5,350",Enjoy the magic of Diffusion models!
all,weekly,https://github.com/Doriandarko/maestro,"3,438",A framework for Claude Opus to intelligently orchestrate subagents.
all,weekly,https://github.com/niedev/RTranslator,"5,113",Open source real-time translation app for Android that runs locally
all,weekly,https://github.com/sxyazi/yazi,"11,499","💥 Blazing fast terminal file manager written in Rust, based on async I/O."
all,weekly,https://github.com/EbookFoundation/free-programming-books,"325,601",📚 Freely available programming books
all,weekly,https://github.com/microsoft/semantic-kernel,"20,314",Integrate cutting-edge LLM technology quickly and easily into your apps
all,weekly,https://github.com/snipe/snipe-it,"10,305",A free open source IT asset/license management system
