url,stars,description
https://github.com/lobehub/lobe-chat,"33,661","🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
https://github.com/SagerNet/sing-box,"15,156",The universal proxy platform
https://github.com/practical-tutorials/project-based-learning,"178,890",Curated list of project-based tutorials
https://github.com/apple/swift-embedded-examples,505,A collection of example projects using Embedded Swift
https://github.com/lllyasviel/stable-diffusion-webui-forge,"5,214",
https://github.com/lllyasviel/Fooocus,"37,653",Focus on prompting and generating
https://github.com/microsoft/unilm,"19,012","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
https://github.com/NVIDIA/warp,"3,440",A Python framework for high performance GPU simulation and graphics
https://github.com/Anjok07/ultimatevocalremovergui,"16,342",GUI for a Vocal Remover that uses Deep Neural Networks.
https://github.com/pytorch/pytorch,"79,810",Tensors and Dynamic neural networks in Python with strong GPU acceleration
https://github.com/google/mesop,"3,793",Build delightful web apps quickly in Python
https://github.com/VikParuchuri/surya,"8,853","OCR, layout analysis, reading order, line detection in 90+ languages"
https://github.com/openwrt/openwrt,"18,817",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
https://github.com/reactos/reactos,"14,214",A free Windows-compatible Operating System
https://github.com/RfidResearchGroup/proxmark3,"3,600",Iceman Fork - Proxmark3
https://github.com/glfw/glfw,"12,485","A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input"
https://github.com/OpenMathLib/OpenBLAS,"6,110",OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.
https://github.com/raspberrypi/pico-sdk,"3,224",
https://github.com/webui-dev/webui,"2,320","Use any web browser or WebView as GUI, with your preferred language in the backend and HTML5 in the frontend, all in a lightweight portable lib."
https://github.com/mit-pdos/xv6-public,"7,546",xv6 OS
https://github.com/unicorn-engine/unicorn,"7,306","Unicorn CPU emulator framework (ARM, AArch64, M68K, Mips, Sparc, PowerPC, RiscV, S390x, TriCore, X86)"
https://github.com/php/php-src,"37,531",The PHP Interpreter
https://github.com/HarbourMasters/Shipwright,"2,978",
https://github.com/qbittorrent/qBittorrent,"25,801",qBittorrent BitTorrent client
https://github.com/nomic-ai/gpt4all,"66,026",GPT4All: Chat with Local LLMs on Any Device
https://github.com/official-stockfish/Stockfish,"10,801",A free and strong UCI chess engine
https://github.com/SFML/SFML,"9,777",Simple and Fast Multimedia Library
https://github.com/mudler/LocalAI,"21,386","🤖 The free, Open Source OpenAI alternative. Self-hosted, community-driven and local-first. Drop-in replacement for OpenAI running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. It allows to generate Text, Audio, Video, Images. Also with voice cloning capabilities."
https://github.com/soulsmods/ModEngine2,724,Runtime injection library for modding Souls games. WIP
https://github.com/SerenityOS/serenity,"29,281",The Serenity Operating System 🐞
https://github.com/ethereum/solidity,"22,625","Solidity, the Smart Contract Programming Language"
https://github.com/google/highway,"3,921","Performance-portable, length-agnostic SIMD with runtime dispatch"
https://github.com/risc0/risc0,"1,535",RISC Zero is a zero-knowledge verifiable general computing platform based on zk-STARKs and the RISC-V microarchitecture.
https://github.com/Atmosphere-NX/Atmosphere,"14,013",Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.
https://github.com/loveBabbar/CodeHelp-DSA-Busted-Series,"3,111",This repo is creating providing students easy access to all the programs taught under Codehelp's DSA Busted Series.
https://github.com/ceph/ceph,"13,453","Ceph is a distributed object, block, and file storage platform"
https://github.com/awslabs/aws-lambda-web-adapter,"1,561",Run web applications on AWS Lambda
https://github.com/wasmerio/wasmer,"18,157","🚀 The leading Wasm Runtime supporting WASIX, WASI and Emscripten"
