lang,period,url,stars,description
all,daily,https://github.com/goldmansachs/gs-quant,"4,108",Python toolkit for quantitative finance
all,daily,https://github.com/WerWolv/ImHex,"37,422","🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM."
all,daily,https://github.com/microsoft/generative-ai-for-beginners,"50,593","18 Lessons, Get Started Building with Generative AI 🔗https://microsoft.github.io/generative-ai-for-beginners/"
all,daily,https://github.com/microsoft/semantic-kernel,"20,171",Integrate cutting-edge LLM technology quickly and easily into your apps
all,daily,https://github.com/neovim/neovim,"79,640",Vim-fork focused on extensibility and usability
all,daily,https://github.com/starship/starship,"42,385","☄🌌️ The minimal, blazing-fast, and infinitely customizable prompt for any shell!"
all,daily,https://github.com/Asabeneh/30-Days-Of-Python,"34,799","30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. These videos may help too:https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
all,daily,https://github.com/YaLTeR/niri,"2,622",A scrollable-tiling Wayland compositor.
all,daily,https://github.com/astral-sh/uv,"14,190","An extremely fast Python package installer and resolver, written in Rust."
all,daily,https://github.com/yt-dlp/yt-dlp,"75,780",A feature-rich command-line audio/video downloader
all,daily,https://github.com/pedroslopez/whatsapp-web.js,"14,231",A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app
all,daily,https://github.com/overleaf/overleaf,"13,078",A web-based collaborative LaTeX editor
all,daily,https://github.com/VinciGit00/Scrapegraph-ai,"12,629",Python scraper based on AI
all,daily,https://github.com/tigerbeetle/tigerbeetle,"8,564",The distributed financial transactions database designed for mission critical safety and performance.
all,daily,https://github.com/EricLBuehler/mistral.rs,"2,813",Blazingly fast LLM inference.
all,daily,https://github.com/danielmiessler/fabric,"17,857",fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.
all,daily,https://github.com/cuixueshe/earthworm,"4,146",Learning English through the method of constructing sentences with conjunctions
all,daily,https://github.com/XingangPan/DragGAN,"35,405",Official Code for DragGAN (SIGGRAPH 2023)
all,daily,https://github.com/hajimehoshi/ebiten,"10,218",Ebitengine - A dead simple 2D game engine for Go
all,weekly,https://github.com/Doriandarko/maestro,"3,397",A framework for Claude Opus to intelligently orchestrate subagents.
all,weekly,https://github.com/EbookFoundation/free-programming-books,"325,475",📚 Freely available programming books
all,weekly,https://github.com/AleoNet/snarkOS,"4,018",A Decentralized Operating System for ZK Applications
all,weekly,https://github.com/tencentmusic/supersonic,"1,459",SuperSonic is the next-generation BI platform that integrates Chat BI (powered by LLM) and Headless BI (powered by semantic layer) paradigms.
all,weekly,https://github.com/sxyazi/yazi,"11,423","💥 Blazing fast terminal file manager written in Rust, based on async I/O."
all,weekly,https://github.com/snipe/snipe-it,"10,285",A free open source IT asset/license management system
all,weekly,https://github.com/Raphire/Win11Debloat,"6,131","A simple, easy to use powershell script to remove bloatware apps from windows, disable telemetry, bing in windows search aswell as perform various other changes to declutter and improve your windows experience. This script works for both windows 10 and windows 11."
all,weekly,https://github.com/modelscope/DiffSynth-Studio,"5,219",Enjoy the magic of Diffusion models!
all,weekly,https://github.com/niedev/RTranslator,"4,959",Open source real-time translation app for Android that runs locally
all,weekly,https://github.com/ZuodaoTech/everyone-can-use-english,"21,075",人人都能用英语
all,weekly,https://github.com/jart/cosmopolitan,"17,169",build-once run-anywhere c library
all,weekly,https://github.com/ente-io/ente,"11,183","Fully open source, End to End Encrypted alternative to Google Photos and Apple Photos"
all,weekly,https://github.com/mehdihadeli/awesome-software-architecture,"6,658","🚀 A curated list of awesome articles, videos, and other resources to learn and practice software architecture, patterns, and principles."
all,monthly,https://github.com/coollabsio/coolify,"25,947",An open-source & self-hostable Heroku / Netlify / Vercel alternative.
all,monthly,https://github.com/comfyanonymous/ComfyUI,"40,709","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
all,monthly,https://github.com/codecrafters-io/build-your-own-x,"280,788",Master programming by recreating your favorite technologies from scratch.
all,monthly,https://github.com/Stability-AI/StableSwarmUI,"4,049","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
all,monthly,https://github.com/k2-fsa/sherpa-onnx,"2,249","Speech-to-text, text-to-speech, and speaker recognition using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript, Flutter"
all,monthly,https://github.com/duckdb/duckdb,"20,451",DuckDB is an analytical in-process SQL database management system
all,monthly,https://github.com/xenova/transformers.js,"9,860","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
all,monthly,https://github.com/hpcaitech/Open-Sora,"20,005",Open-Sora: Democratizing Efficient Video Production for All
all,monthly,https://github.com/LazyVim/LazyVim,"15,258",Neovim config for the lazy
all,monthly,https://github.com/JanDeDobbeleer/oh-my-posh,"15,731",The most customisable and low-latency cross platform/shell prompt renderer
all,monthly,https://github.com/OpenBMB/MiniCPM-V,"7,741",MiniCPM-Llama3-V 2.5: A GPT-4V Level Multimodal LLM on Your Phone
all,monthly,https://github.com/jianchang512/pyvideotrans,"7,674",Translate the video from one language to another and add dubbing. 将视频从一种语言翻译为另一种语言，并添加配音
python,daily,https://github.com/tinygrad/tinygrad,"24,974",You like pytorch? You like micrograd? You love tinygrad! ❤️
python,daily,https://github.com/dortania/OpenCore-Legacy-Patcher,"11,582",Experience macOS just like before
python,daily,https://github.com/pytorch/pytorch,"79,978",Tensors and Dynamic neural networks in Python with strong GPU acceleration
python,daily,https://github.com/joaomdmoura/crewAI,"16,716","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
python,daily,https://github.com/rany2/edge-tts,"4,475",Use Microsoft Edge's online text-to-speech service from Python WITHOUT needing Microsoft Edge or Windows or an API key
python,daily,https://github.com/cluic/wxauto,"2,011",Windows版本微信客户端（非网页版）自动化，可实现简单的发送、接收微信消息，简单微信机器人
python,daily,https://github.com/home-assistant/core,"69,695",🏡 Open source home automation that puts local control and privacy first.
python,daily,https://github.com/mindsdb/mindsdb,"23,193",The platform for building AI from enterprise data
python,daily,https://github.com/abi/screenshot-to-code,"54,369",Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue)
python,daily,https://github.com/python/cpython,"60,776",The Python programming language
python,daily,https://github.com/zilliztech/GPTCache,"6,787",Semantic cache for LLMs. Fully integrated with LangChain and llama_index.
python,weekly,https://github.com/intuitem/ciso-assistant-community,903,"CISO Assistant is a one-stop-shop for GRC, covering Risk, AppSec and Audit Management and supporting +48 frameworks worldwide: NIST CSF, ISO 27001, SOC2, CIS, PCI DSS, NIS2, CMMC, PSPF, GDPR, HIPAA, Essential Eight, NYDFS-500, DORA, NIST AI RMF, 800-53, 800-171, CyFun, CJIS, AirCyber, NCSC and so much more"
python,weekly,https://github.com/donnemartin/system-design-primer,"262,452",Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.
python,weekly,https://github.com/snakers4/silero-vad,"3,284",Silero VAD: pre-trained enterprise-grade Voice Activity Detector
python,weekly,https://github.com/infiniflow/ragflow,"10,590",RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
python,weekly,https://github.com/swisskyrepo/PayloadsAllTheThings,"58,118",A list of useful payloads and bypass for Web Application Security and Pentest/CTF
python,weekly,https://github.com/odoo/odoo,"35,979",Odoo. Open Source Apps To Grow Your Business.
python,weekly,https://github.com/LLaVA-VL/LLaVA-NeXT,"1,006",
python,weekly,https://github.com/searxng/searxng,"10,668",SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.
python,weekly,https://github.com/microsoft/UFO,"6,257",A UI-Focused Agent for Windows OS Interaction.
python,weekly,https://github.com/anthropics/anthropic-sdk-python,"1,095",
python,monthly,https://github.com/VikParuchuri/marker,"13,722",Convert PDF to markdown quickly with high accuracy
python,monthly,https://github.com/vanna-ai/vanna,"9,005",🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
python,monthly,https://github.com/roboflow/supervision,"17,058",We write your reusable computer vision tools. 💜
python,monthly,https://github.com/labmlai/annotated_deep_learning_paper_implementations,"51,107","🧑‍🏫 60 Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
python,monthly,https://github.com/jackfrued/Python-100-Days,"152,177",Python - 100天从新手到大师
python,monthly,https://github.com/Stability-AI/stable-audio-tools,"2,230",Generative models for conditional audio generation
python,monthly,https://github.com/isaac-sim/IsaacLab,"1,489",Unified framework for robot learning built on NVIDIA Isaac Sim
C,daily,https://github.com/Genymobile/scrcpy,"105,113",Display and control your Android device
C,daily,https://github.com/obsproject/obs-studio,"57,151",OBS Studio - Free and open source software for live streaming and screen recording
C,daily,https://github.com/qmk/qmk_firmware,"17,453",Open-source keyboard firmware for Atmel AVR and Arm USB families
C,daily,https://github.com/immortalwrt/immortalwrt,"4,981",An opensource OpenWrt variant for mainland China users.
C,daily,https://github.com/curl/curl,"34,770","A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
C,daily,https://github.com/coolsnowwolf/lede,"29,136",Lean's LEDE source
C,daily,https://github.com/php/php-src,"37,551",The PHP Interpreter
C,daily,https://github.com/xmrig/xmrig,"8,485","RandomX, KawPow, CryptoNight and GhostRider unified CPU/GPU miner and RandomX benchmark"
C,daily,https://github.com/raysan5/raylib,"20,340",A simple and easy-to-use library to enjoy videogames programming
C,daily,https://github.com/openwall/john,"9,606","John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs"
C,daily,https://github.com/vanhauser-thc/thc-hydra,"9,244",hydra
C,daily,https://github.com/arendst/Tasmota,"21,693","Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at"
C,daily,https://github.com/fw876/helloworld,"3,518",
C,daily,https://github.com/ventoy/Ventoy,"60,220",A new bootable USB solution.
C,daily,https://github.com/micropython/micropython,"18,668",MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems
C,daily,https://github.com/mit-pdos/xv6-public,"7,565",xv6 OS
C,daily,https://github.com/DarkFlippers/unleashed-firmware,"15,719",Flipper Zero Unleashed Firmware
