lang,url,stars,description
C,https://github.com/arthenica/ffmpeg-kit,"3,992","FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg."
C,https://github.com/istoreos/istoreos,"4,350",提供一个人人会用的的路由、NAS系统 （目前活跃的分支是 istoreos-22.03）
C,https://github.com/fwupd/fwupd,"2,686",A system daemon to allow session software to update firmware
C,https://github.com/FRRouting/frr,"3,113",The FRRouting Protocol Suite
C,https://github.com/pgvector/pgvector,"10,410",Open-source vector similarity search for Postgres
C,https://github.com/libfuse/libfuse,"5,096",The reference implementation of the Linux FUSE (Filesystem in Userspace) interface
C,https://github.com/shalxmva/modxo,226,Xbox LPC Port modchip using a Raspberry Pi Pico
C,https://github.com/libimobiledevice/libimobiledevice,"6,435",A cross-platform protocol library to communicate with iOS devices
C,https://github.com/memcached/memcached,"13,315",memcached development tree
C,https://github.com/shauninman/MinUI,616,"A custom launcher and libretro frontend for the RGB30, M17, Trimui Smart (and Pro), Miyoo Mini (and Plus) and A30, and the Anbernic RG*XX family."
C,https://github.com/floooh/sokol,"6,545",minimal cross-platform standalone C headers
C,https://github.com/xiph/rnnoise,"3,839",Recurrent neural network for audio noise reduction
C,https://github.com/neutrinolabs/xrdp,"5,451",xrdp: an open source RDP server
C,https://github.com/valinet/ExplorerPatcher,"22,703",This project aims to enhance the working environment on Windows
C,https://github.com/spdk/spdk,"2,926",Storage Performance Development Kit
C,https://github.com/ffmpegwasm/ffmpeg.wasm,"13,464","FFmpeg for browser, powered by WebAssembly"
C,https://github.com/VirusTotal/yara,"7,920",The pattern matching swiss knife
C,https://github.com/wazuh/wazuh,"9,638",Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.
C,https://github.com/Perfare/Zygisk-Il2CppDumper,"2,140",Using Zygisk to dump il2cpp data at runtime
C,https://github.com/joncampbell123/dosbox-x,"2,549",DOSBox-X fork of the DOSBox project
C,https://github.com/andmarti1424/sc-im,"4,653",sc-im - Spreadsheet Calculator Improvised -- An ncurses spreadsheet program for terminal
C,https://github.com/redcanaryco/atomic-red-team,"9,340",Small and highly portable detection tests based on MITRE's ATT&CK.
C,https://github.com/nanopb/nanopb,"4,172",Protocol Buffers with small code size
C,https://github.com/bellard/quickjs,"7,983",Public repository of the QuickJS Javascript Engine.
C,https://github.com/SoftEtherVPN/SoftEtherVPN,"11,266",Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available athttps://github.com/SoftEtherVPN/SoftEtherVPN_Stable.
C,https://github.com/signalwire/freeswitch,"3,318","FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device."
C,https://github.com/tianocore/edk2,"4,372",EDK II
C,https://github.com/raspberrypi/pico-sdk,"3,254",
C,https://github.com/raysan5/raylib,"20,434",A simple and easy-to-use library to enjoy videogames programming
C,https://github.com/kamailio/kamailio,"2,189",Kamailio - The Open Source SIP Server for large VoIP and real-time communication platforms -
C,https://github.com/vedderb/bldc,"2,082",The VESC motor control firmware
C,https://github.com/pygame/pygame,"7,132","🐍🎮 pygame (the library) is a Free and Open Source python programming language library for making multimedia applications like games built on top of the excellent SDL library. C, Python, Native, OpenGL."
C,https://github.com/ggerganov/ggml,"10,260",Tensor library for machine learning
C,https://github.com/RT-Thread/rt-thread,"10,002",RT-Thread is an open source IoT real-time operating system (RTOS).
C,https://github.com/earlephilhower/arduino-pico,"1,862","Raspberry Pi Pico Arduino core, for all RP2040 boards"
C,https://github.com/moonlight-stream/moonlight-android,"3,523",GameStream client for Android
C,https://github.com/bitcoin-core/secp256k1,"2,010",Optimized C library for EC operations on curve secp256k1
C,https://github.com/hathach/tinyusb,"4,672",An open source cross-platform USB stack for embedded system
C,https://github.com/rswier/c4,"9,476",C in four functions
C,https://github.com/fluent/fluent-bit,"5,522","Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows"
C,https://github.com/rui314/8cc,"6,076",A Small C Compiler
C,https://github.com/git/git,"50,934",Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
C,https://github.com/stephane/libmodbus,"3,295","A Modbus library for Linux, Mac OS, FreeBSD and Windows"
C,https://github.com/php/php-src,"37,563",The PHP Interpreter
C,https://github.com/FreeRTOS/FreeRTOS-Kernel,"2,503","FreeRTOS kernel files only, submoduled intohttps://github.com/FreeRTOS/FreeRTOSand various other repos."
C,https://github.com/FreeRTOS/FreeRTOS,"4,905",'Classic' FreeRTOS distribution. Started as Git clone of FreeRTOS SourceForge SVN repo. Submodules the kernel.
C,https://github.com/libuv/libuv,"23,539",Cross-platform asynchronous I/O
C,https://github.com/AFLplusplus/AFLplusplus,"4,814","The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!"
C,https://github.com/google/security-research,"3,138",This project hosts security advisories and their accompanying proof-of-concepts related to research conducted at Google which impact non-Google owned code.
C,https://github.com/OpenMathLib/OpenBLAS,"6,126",OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.
C,https://github.com/OpenVPN/openvpn,"10,235",OpenVPN is an open source VPN daemon
C,https://github.com/taosdata/TDengine,"23,005","TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
C,https://github.com/linux-can/can-utils,"2,284",Linux-CAN / SocketCAN user space applications
C,https://github.com/ArtifexSoftware/mupdf,"1,221",mupdf mirror
C,https://github.com/eclipse/mosquitto,"8,624",Eclipse Mosquitto - An open source MQTT broker
C,https://github.com/pgbouncer/pgbouncer,"2,769",lightweight connection pooler for PostgreSQL
C,https://github.com/jemalloc/jemalloc,"9,225",
C,https://github.com/cesanta/mongoose,"10,774",Embedded Web Server
C,https://github.com/Cyan4973/xxHash,"8,706",Extremely fast non-cryptographic hash algorithm
C,https://github.com/acidanthera/OpenCorePkg,"13,009",OpenCore bootloader
C,https://github.com/darktable-org/darktable,"9,069",darktable is an open source photography workflow application and raw developer
C,https://github.com/AlkaMotors/AM32-MultiRotor-ESC-firmware,734,Firmware for stm32f051 based speed controllers for use with mutirotors
C,https://github.com/coturn/coturn,"10,794",coturn TURN server project
C,https://github.com/bytecodealliance/wasm-micro-runtime,"4,655",WebAssembly Micro Runtime (WAMR)
C,https://github.com/valkey-io/valkey,"14,566","A new project to resume development on the formerly open-source Redis project. We're calling it Valkey, since it's a twist on the key-value datastore."
C,https://github.com/fastfetch-cli/fastfetch,"8,127","An actively maintained, feature-rich and performance oriented, neofetch like system information tool."
